"Id","Address","Acres","LandValue","BuildingValue","FinalValue","Rooms","Beds","Bath50","Bath75","Bath100","Kitchens","Fireplace","AG_Sqft","BG_Sqft","TotalSqft"
1,9484,0.79,169100,217900,387000,10,4,0,1,2,1,1,2.622,0,2.622
2,9446,1.03,195400,339200,534600,19,9,0,0,6,1,0,2.41,1.17,3.58
3,3920,1.08,199200,299900,499100,11,5,0,0,2,1,1,1.96,1.96,3.92
4,3902,0.96,188000,363600,551600,10,3,0,0,2,1,1,2.148,1.289,3.437
5,3882,0.97,189000,595400,784400,16,9,1,0,5,2,1,3.3,1.6,4.9
6,3866,0.97,189000,511200,700200,12,3,2,0,3,1,1,2.942,1.747,4.689
7,9430,0.46,131400,284900,416300,10,3,0,1,1,1,1,1.612,0.958,2.57
8,9410,0.52,138100,298900,437000,10,3,0,1,1,1,1,1.614,0.958,2.572
9,9439,0.72,153800,318800,472600,9,3,0,1,1,1,0,1.665,0.999,2.664
10,3788,0.72,161200,389300,550500,11,3,1,0,2,1,0,2.324,1.32,3.644
11,3772,0.68,156500,349900,506400,10,3,1,0,2,1,0,2.4,0.4,2.8
12,9408,0.5,135600,327400,463000,15,5,0,1,2,1,1,1.858,1.788,3.646
13,3745,0.5,135600,231600,367200,9,3,0,0,2,1,0,1.841,0.69,2.531
14,3733,1.02,196100,293400,489500,10,4,0,1,2,1,1,1.644,0.6,2.244
15,9467,1.04,199200,312900,512100,13,4,0,0,3,1,2,2.647,0.924,3.571
16,9462,1.06,202200,210900,413100,9,6,0,1,1,1,0,1.542,1.074,2.616
17,9490,1.02,196100,291100,487200,9,2,0,0,2,1,0,1.92,0.71,2.63
18,9497,1.03,197700,302400,500100,8,3,0,1,1,1,1,2.04,1.216,3.256
19,9518,1.01,194600,371300,565900,12,5,1,0,3,1,1,2.254,2.15,4.404
20,9525,1.02,196100,259700,455800,11,4,1,1,1,1,1,1.642,0.168,1.81
21,9544,1.01,194600,300900,495500,10,3,1,0,2,1,1,2.642,0.3,2.942
22,3811,0.5,135600,263300,398900,13,4,1,2,1,1,2,2.138,1,3.138
23,9461,0.49,134500,364800,499300,13,5,1,0,3,1,1,2.02,2.004,4.024
24,3868,0.71,159900,334300,494200,10,3,2,0,1,1,0,2.432,1.022,3.454
25,9461,0.71,159900,336700,496600,15,5,1,0,3,1,2,2.46,1.25,3.71
26,9487,0.8,170100,255400,425500,14,5,1,0,3,1,1,1.638,1.638,3.276
27,9485,0.99,191600,288600,480200,7,3,0,0,2,1,0,2.004,1.202,3.206
28,9507,0.99,191600,300100,491700,11,3,0,2,1,1,0,1.924,0.6,2.524
29,9508,0.79,169100,340400,509500,10,4,0,0,2,1,1,1.807,0.2,2.007
30,9542,0.96,188000,360000,548000,12,5,0,1,2,1,1,2.937,0.4,3.337
31,3878,0.69,157500,318300,475800,12,5,2,1,1,1,1,2.003,0.2,2.203
32,3892,0.62,149400,277700,427100,12,6,1,1,2,1,2,2.336,1.125,3.461
33,9521,0.89,180500,423400,603900,16,6,1,0,4,1,2,2.761,1.35,4.111
34,9503,1.15,215900,632900,848800,17,5,0,1,3,2,2,2.918,1.3,4.218
35,9520,0.98,190100,233000,423100,10,3,0,1,1,1,0,1.745,0.432,2.177
36,9556,0.8,170100,409000,579100,11,4,1,0,2,1,1,2.917,1.583,4.5
37,9551,0.8,170100,426700,596800,15,6,0,1,2,1,2,2.889,1.6,4.489
38,3892,0.62,149400,277700,427100,12,6,1,1,2,1,2,2.336,1.125,3.461
39,9577,0.64,151900,286000,437900,11,4,1,1,1,1,1,2.368,0.22,2.588
40,9578,0.9,181800,342500,524300,14,6,1,0,3,1,1,2.212,1.6,3.812
41,3924,0.55,141800,273500,415300,8,3,0,1,1,1,1,1.872,0.936,2.808
42,9607,0.65,153200,230700,383900,12,3,1,0,2,1,1,2.275,0,2.275
43,9606,0.5,135600,250100,385700,10,6,1,0,3,1,0,1.528,0.5,2.028
44,3976,0.51,130000,355800,485800,11,4,1,0,2,1,1,3.018,0,3.018
45,3973,0.94,176500,374500,551000,11,4,0,0,2,1,1,2.98,0.62,3.6
46,3929,0.96,188000,270500,458500,10,4,0,0,2,1,1,1.873,0.168,2.041
47,3913,1.14,203700,385600,589300,13,6,1,0,3,1,1,3.034,1.1,4.134
48,3889,0.55,141800,254500,396300,15,7,0,1,2,1,1,1.635,1.575,3.21
49,3863,0.68,156500,311200,467700,12,4,0,2,1,1,1,2.349,1.31,3.659
50,9602,0.56,142800,388600,531400,12,4,0,0,3,1,0,2.692,0,2.692
51,9624,0.88,179100,261400,440500,10,5,0,0,3,1,1,2.022,1.109,3.131
52,9623,0.99,191600,387100,578700,15,6,1,0,3,1,1,2.156,1.5,3.656
53,9601,0.99,191600,327800,519400,15,6,0,1,2,1,1,2.535,1,3.535
54,9566,1.03,197700,267500,465200,12,5,0,2,1,1,1,1.274,1.25,2.524
55,9578,1,193100,374100,567200,12,4,1,0,2,1,1,2.746,1.1,3.846
56,9575,1.05,200700,320300,521000,14,4,1,1,2,1,0,2.255,1.63,3.885
57,9466,0.82,172100,349300,521400,12,4,1,1,2,1,0,2.49,0.55,3.04
58,9579,0.99,191600,415100,606700,20,6,2,0,3,2,1,3.996,1.5,5.496
59,9536,0.98,190100,504800,694900,11,4,0,1,2,1,1,2.936,0.734,3.67
60,3949,0.96,180000,692300,872300,11,4,1,2,1,1,2,5.512,0.55,6.062
61,9496,0.68,156500,529000,685500,15,6,0,1,4,1,3,6.121,1.278,7.399
62,3910,0.51,136800,463600,600400,9,2,1,1,1,1,1,3.565,0,3.565
63,9588,1.01,194600,493500,688100,9,4,0,2,2,1,1,2.364,1.5,3.864
64,9557,1.02,196100,202500,398600,12,4,1,2,1,1,1,1.87,0.853,2.723
65,9503,1.15,215900,632900,848800,17,5,0,1,3,2,2,2.918,1.3,4.218
